kode,uraian,penjelasan,konteks,keywords,domain,activity,level,embedding_text
400.7.3,upaya kesehatan rujukan,Klasifikasi terkait upaya kesehatan rujukan.,Digunakan untuk dokumen mengenai upaya kesehatan rujukan.,"upaya, kesehatan, rujukan",umum,umum,tersier,400.7.3 upaya kesehatan rujukan klasifikasi terkait upaya kesehatan rujukan. digunakan untuk dokumen mengenai upaya kesehatan rujukan. upaya kesehatan rujukan umum umum
400.7.3.1,pelayanan kesehatan rujukan,Klasifikasi terkait pelayanan kesehatan rujukan.,Digunakan untuk dokumen mengenai pelayanan kesehatan rujukan.,"pelayanan, kesehatan, rujukan",umum,umum,kuartier,400.7.3.1 pelayanan kesehatan rujukan klasifikasi terkait pelayanan kesehatan rujukan. digunakan untuk dokumen mengenai pelayanan kesehatan rujukan. pelayanan kesehatan rujukan umum umum
400.7.3.2,pelayanan kedokteran organisasi profesi dan konsorsium upaya kesehatan kuk,Klasifikasi terkait pelayanan kedokteran organisasi profesi dan konsorsium upaya kesehatan kuk.,Digunakan untuk dokumen mengenai pelayanan kedokteran organisasi profesi dan konsorsium upaya kesehatan kuk.,"pelayanan, kedokteran, organisasi, profesi, dan, konsorsium, upaya, kesehatan, kuk",umum,umum,kuartier,400.7.3.2 pelayanan kedokteran organisasi profesi dan konsorsium upaya kesehatan kuk klasifikasi terkait pelayanan kedokteran organisasi profesi dan konsorsium upaya kesehatan kuk. digunakan untuk dokumen mengenai pelayanan kedokteran organisasi profesi dan konsorsium upaya kesehatan kuk. pelayanan kedokteran organisasi profesi dan konsorsium upaya kesehatan kuk umum umum
400.7.3.3,pelayanan rumah sakit privat,Klasifikasi terkait pelayanan rumah sakit privat.,Digunakan untuk dokumen mengenai pelayanan rumah sakit privat.,"pelayanan, rumah, sakit, privat",umum,umum,kuartier,400.7.3.3 pelayanan rumah sakit privat klasifikasi terkait pelayanan rumah sakit privat. digunakan untuk dokumen mengenai pelayanan rumah sakit privat. pelayanan rumah sakit privat umum umum
400.7.3.4,pelayanan kesehatan rumah sakit khusus dan fasilitas pelayanan kesehatan lainnya,Klasifikasi terkait pelayanan kesehatan rumah sakit khusus dan fasilitas pelayanan kesehatan lainnya.,Digunakan untuk dokumen mengenai pelayanan kesehatan rumah sakit khusus dan fasilitas pelayanan kesehatan lainnya.,"pelayanan, kesehatan, rumah, sakit, khusus, dan, fasilitas, lainnya",umum,umum,kuartier,400.7.3.4 pelayanan kesehatan rumah sakit khusus dan fasilitas pelayanan kesehatan lainnya klasifikasi terkait pelayanan kesehatan rumah sakit khusus dan fasilitas pelayanan kesehatan lainnya. digunakan untuk dokumen mengenai pelayanan kesehatan rumah sakit khusus dan fasilitas pelayanan kesehatan lainnya. pelayanan kesehatan rumah sakit khusus dan fasilitas lainnya umum umum
400.7.3.5,pelayanan kesehatan rumah sakit pendidikan,Klasifikasi terkait pelayanan kesehatan rumah sakit pendidikan.,Digunakan untuk dokumen mengenai pelayanan kesehatan rumah sakit pendidikan.,"pelayanan, kesehatan, rumah, sakit, pendidikan",umum,umum,kuartier,400.7.3.5 pelayanan kesehatan rumah sakit pendidikan klasifikasi terkait pelayanan kesehatan rumah sakit pendidikan. digunakan untuk dokumen mengenai pelayanan kesehatan rumah sakit pendidikan. pelayanan kesehatan rumah sakit pendidikan umum umum
400.7.3.6,pelayanan pasien jaminan kesehatan,Klasifikasi terkait pelayanan pasien jaminan kesehatan.,Digunakan untuk dokumen mengenai pelayanan pasien jaminan kesehatan.,"pelayanan, pasien, jaminan, kesehatan",umum,umum,kuartier,400.7.3.6 pelayanan pasien jaminan kesehatan klasifikasi terkait pelayanan pasien jaminan kesehatan. digunakan untuk dokumen mengenai pelayanan pasien jaminan kesehatan. pelayanan pasien jaminan kesehatan umum umum
400.7.3.7,fasilitas pelayanan kesehatan asing dan perdagangan jasa,Klasifikasi terkait fasilitas pelayanan kesehatan asing dan perdagangan jasa.,Digunakan untuk dokumen mengenai fasilitas pelayanan kesehatan asing dan perdagangan jasa.,"fasilitas, pelayanan, kesehatan, asing, dan, perdagangan, jasa",umum,umum,kuartier,400.7.3.7 fasilitas pelayanan kesehatan asing dan perdagangan jasa klasifikasi terkait fasilitas pelayanan kesehatan asing dan perdagangan jasa. digunakan untuk dokumen mengenai fasilitas pelayanan kesehatan asing dan perdagangan jasa. fasilitas pelayanan kesehatan asing dan perdagangan jasa umum umum
400.7.3.8,badan pengawas rumah sakit,Klasifikasi terkait badan pengawas rumah sakit.,Digunakan untuk dokumen mengenai badan pengawas rumah sakit.,"badan, pengawas, rumah, sakit",umum,umum,kuartier,400.7.3.8 badan pengawas rumah sakit klasifikasi terkait badan pengawas rumah sakit. digunakan untuk dokumen mengenai badan pengawas rumah sakit. badan pengawas rumah sakit umum umum
400.7.3.9,perizinan dan penetapan kelas rumah sakit kelas a dan penanam modal asing pma,Klasifikasi terkait perizinan dan penetapan kelas rumah sakit kelas a dan penanam modal asing pma.,Digunakan untuk dokumen mengenai perizinan dan penetapan kelas rumah sakit kelas a dan penanam modal asing pma.,"perizinan, dan, penetapan, kelas, rumah, sakit, penanam, modal, asing, pma",umum,umum,kuartier,400.7.3.9 perizinan dan penetapan kelas rumah sakit kelas a dan penanam modal asing pma klasifikasi terkait perizinan dan penetapan kelas rumah sakit kelas a dan penanam modal asing pma. digunakan untuk dokumen mengenai perizinan dan penetapan kelas rumah sakit kelas a dan penanam modal asing pma. perizinan dan penetapan kelas rumah sakit penanam modal asing pma umum umum
400.7.3.10,akreditasi rumah sakit dan fasilitas kesehatan lainnya,Klasifikasi terkait akreditasi rumah sakit dan fasilitas kesehatan lainnya.,Digunakan untuk dokumen mengenai akreditasi rumah sakit dan fasilitas kesehatan lainnya.,"akreditasi, rumah, sakit, dan, fasilitas, kesehatan, lainnya",umum,umum,kuartier,400.7.3.10 akreditasi rumah sakit dan fasilitas kesehatan lainnya klasifikasi terkait akreditasi rumah sakit dan fasilitas kesehatan lainnya. digunakan untuk dokumen mengenai akreditasi rumah sakit dan fasilitas kesehatan lainnya. akreditasi rumah sakit dan fasilitas kesehatan lainnya umum umum
400.7.4,keperawatan dan keteknisian medik,Klasifikasi terkait keperawatan dan keteknisian medik.,Digunakan untuk dokumen mengenai keperawatan dan keteknisian medik.,"keperawatan, dan, keteknisian, medik",umum,umum,tersier,400.7.4 keperawatan dan keteknisian medik klasifikasi terkait keperawatan dan keteknisian medik. digunakan untuk dokumen mengenai keperawatan dan keteknisian medik. keperawatan dan keteknisian medik umum umum
400.7.4.1,pelayanan keperawatan dasar,Klasifikasi terkait pelayanan keperawatan dasar.,Digunakan untuk dokumen mengenai pelayanan keperawatan dasar.,"pelayanan, keperawatan, dasar",umum,umum,kuartier,400.7.4.1 pelayanan keperawatan dasar klasifikasi terkait pelayanan keperawatan dasar. digunakan untuk dokumen mengenai pelayanan keperawatan dasar. pelayanan keperawatan dasar umum umum
400.7.4.2,pelayanan keperawatan profesional di rumah sakit,Klasifikasi terkait pelayanan keperawatan profesional di rumah sakit.,Digunakan untuk dokumen mengenai pelayanan keperawatan profesional di rumah sakit.,"pelayanan, keperawatan, profesional, rumah, sakit",umum,umum,kuartier,400.7.4.2 pelayanan keperawatan profesional di rumah sakit klasifikasi terkait pelayanan keperawatan profesional di rumah sakit. digunakan untuk dokumen mengenai pelayanan keperawatan profesional di rumah sakit. pelayanan keperawatan profesional rumah sakit umum umum
400.7.4.3,pelayanan keperawatan di rumah sakit umum,Klasifikasi terkait pelayanan keperawatan di rumah sakit umum.,Digunakan untuk dokumen mengenai pelayanan keperawatan di rumah sakit umum.,"pelayanan, keperawatan, rumah, sakit, umum",umum,umum,kuartier,400.7.4.3 pelayanan keperawatan di rumah sakit umum klasifikasi terkait pelayanan keperawatan di rumah sakit umum. digunakan untuk dokumen mengenai pelayanan keperawatan di rumah sakit umum. pelayanan keperawatan rumah sakit umum umum umum
400.7.4.4,pelayanan keperawatan di rumah sakit khusus,Klasifikasi terkait pelayanan keperawatan di rumah sakit khusus.,Digunakan untuk dokumen mengenai pelayanan keperawatan di rumah sakit khusus.,"pelayanan, keperawatan, rumah, sakit, khusus",umum,umum,kuartier,400.7.4.4 pelayanan keperawatan di rumah sakit khusus klasifikasi terkait pelayanan keperawatan di rumah sakit khusus. digunakan untuk dokumen mengenai pelayanan keperawatan di rumah sakit khusus. pelayanan keperawatan rumah sakit khusus umum umum
400.7.4.5,bina pelayanan kebidanan,Klasifikasi terkait bina pelayanan kebidanan.,Digunakan untuk dokumen mengenai bina pelayanan kebidanan.,"bina, pelayanan, kebidanan",umum,umum,kuartier,400.7.4.5 bina pelayanan kebidanan klasifikasi terkait bina pelayanan kebidanan. digunakan untuk dokumen mengenai bina pelayanan kebidanan. bina pelayanan kebidanan umum umum
400.7.5,penunjang medik dan sarana kesehatan,Klasifikasi terkait penunjang medik dan sarana kesehatan.,Digunakan untuk dokumen mengenai penunjang medik dan sarana kesehatan.,"penunjang, medik, dan, sarana, kesehatan",umum,umum,tersier,400.7.5 penunjang medik dan sarana kesehatan klasifikasi terkait penunjang medik dan sarana kesehatan. digunakan untuk dokumen mengenai penunjang medik dan sarana kesehatan. penunjang medik dan sarana kesehatan umum umum
400.7.5.1,mikrobiologi dan imunologi,Klasifikasi terkait mikrobiologi dan imunologi.,Digunakan untuk dokumen mengenai mikrobiologi dan imunologi.,"mikrobiologi, dan, imunologi",umum,umum,kuartier,400.7.5.1 mikrobiologi dan imunologi klasifikasi terkait mikrobiologi dan imunologi. digunakan untuk dokumen mengenai mikrobiologi dan imunologi. mikrobiologi dan imunologi umum umum
400.7.5.2,patologi dan toksilogi,Klasifikasi terkait patologi dan toksilogi.,Digunakan untuk dokumen mengenai patologi dan toksilogi.,"patologi, dan, toksilogi",umum,umum,kuartier,400.7.5.2 patologi dan toksilogi klasifikasi terkait patologi dan toksilogi. digunakan untuk dokumen mengenai patologi dan toksilogi. patologi dan toksilogi umum umum
400.7.5.3,radiologi,Klasifikasi terkait radiologi.,Digunakan untuk dokumen mengenai radiologi.,radiologi,umum,umum,kuartier,400.7.5.3 radiologi klasifikasi terkait radiologi. digunakan untuk dokumen mengenai radiologi. radiologi umum umum
400.7.5.4,perizinan dan sertifikasi,Klasifikasi terkait perizinan dan sertifikasi.,Digunakan untuk dokumen mengenai perizinan dan sertifikasi.,"perizinan, dan, sertifikasi",umum,umum,kuartier,400.7.5.4 perizinan dan sertifikasi klasifikasi terkait perizinan dan sertifikasi. digunakan untuk dokumen mengenai perizinan dan sertifikasi. perizinan dan sertifikasi umum umum
400.7.5.5,sarana dan prasarana kesehatan,Klasifikasi terkait sarana dan prasarana kesehatan.,Digunakan untuk dokumen mengenai sarana dan prasarana kesehatan.,"sarana, dan, prasarana, kesehatan",umum,umum,kuartier,400.7.5.5 sarana dan prasarana kesehatan klasifikasi terkait sarana dan prasarana kesehatan. digunakan untuk dokumen mengenai sarana dan prasarana kesehatan. sarana dan prasarana kesehatan umum umum
400.7.5.6,peralatan medis di fasilitas pelayanan kesehatan,Klasifikasi terkait peralatan medis di fasilitas pelayanan kesehatan.,Digunakan untuk dokumen mengenai peralatan medis di fasilitas pelayanan kesehatan.,"peralatan, medis, fasilitas, pelayanan, kesehatan",umum,umum,kuartier,400.7.5.6 peralatan medis di fasilitas pelayanan kesehatan klasifikasi terkait peralatan medis di fasilitas pelayanan kesehatan. digunakan untuk dokumen mengenai peralatan medis di fasilitas pelayanan kesehatan. peralatan medis fasilitas pelayanan kesehatan umum umum
400.7.5.7,aplikasi sarana dan prasarana alat kesehatan,Klasifikasi terkait aplikasi sarana dan prasarana alat kesehatan.,Digunakan untuk dokumen mengenai aplikasi sarana dan prasarana alat kesehatan.,"aplikasi, sarana, dan, prasarana, alat, kesehatan",umum,umum,kuartier,400.7.5.7 aplikasi sarana dan prasarana alat kesehatan klasifikasi terkait aplikasi sarana dan prasarana alat kesehatan. digunakan untuk dokumen mengenai aplikasi sarana dan prasarana alat kesehatan. aplikasi sarana dan prasarana alat kesehatan umum umum
400.7.6,kesehatan jiwa,Klasifikasi terkait kesehatan jiwa.,Digunakan untuk dokumen mengenai kesehatan jiwa.,"kesehatan, jiwa",umum,umum,tersier,400.7.6 kesehatan jiwa klasifikasi terkait kesehatan jiwa. digunakan untuk dokumen mengenai kesehatan jiwa. kesehatan jiwa umum umum
400.7.6.1,kesehatan jiwa di non fasilitas pelayanan kesehatan,Klasifikasi terkait kesehatan jiwa di non fasilitas pelayanan kesehatan.,Digunakan untuk dokumen mengenai kesehatan jiwa di non fasilitas pelayanan kesehatan.,"kesehatan, jiwa, non, fasilitas, pelayanan",umum,umum,kuartier,400.7.6.1 kesehatan jiwa di non fasilitas pelayanan kesehatan klasifikasi terkait kesehatan jiwa di non fasilitas pelayanan kesehatan. digunakan untuk dokumen mengenai kesehatan jiwa di non fasilitas pelayanan kesehatan. kesehatan jiwa non fasilitas pelayanan umum umum
400.7.6.2,bina kesehatan jiwa di fasilitas pelayanan kesehatan,Klasifikasi terkait bina kesehatan jiwa di fasilitas pelayanan kesehatan.,Digunakan untuk dokumen mengenai bina kesehatan jiwa di fasilitas pelayanan kesehatan.,"bina, kesehatan, jiwa, fasilitas, pelayanan",umum,umum,kuartier,400.7.6.2 bina kesehatan jiwa di fasilitas pelayanan kesehatan klasifikasi terkait bina kesehatan jiwa di fasilitas pelayanan kesehatan. digunakan untuk dokumen mengenai bina kesehatan jiwa di fasilitas pelayanan kesehatan. bina kesehatan jiwa fasilitas pelayanan umum umum
400.7.6.3,etikolegal dan asesmen,Klasifikasi terkait etikolegal dan asesmen.,Digunakan untuk dokumen mengenai etikolegal dan asesmen.,"etikolegal, dan, asesmen",umum,umum,kuartier,400.7.6.3 etikolegal dan asesmen klasifikasi terkait etikolegal dan asesmen. digunakan untuk dokumen mengenai etikolegal dan asesmen. etikolegal dan asesmen umum umum
400.7.6.4,pencegahan dan penanggulangan narkotika dan sejenisnya,Klasifikasi terkait pencegahan dan penanggulangan narkotika dan sejenisnya.,Digunakan untuk dokumen mengenai pencegahan dan penanggulangan narkotika dan sejenisnya.,"pencegahan, dan, penanggulangan, narkotika, sejenisnya",umum,umum,kuartier,400.7.6.4 pencegahan dan penanggulangan narkotika dan sejenisnya klasifikasi terkait pencegahan dan penanggulangan narkotika dan sejenisnya. digunakan untuk dokumen mengenai pencegahan dan penanggulangan narkotika dan sejenisnya. pencegahan dan penanggulangan narkotika sejenisnya umum umum
400.7.6.5,etikolegal dan asesmen,Klasifikasi terkait etikolegal dan asesmen.,Digunakan untuk dokumen mengenai etikolegal dan asesmen.,"etikolegal, dan, asesmen",umum,umum,kuartier,400.7.6.5 etikolegal dan asesmen klasifikasi terkait etikolegal dan asesmen. digunakan untuk dokumen mengenai etikolegal dan asesmen. etikolegal dan asesmen umum umum
400.7.6.6,kesehatan jiwa kelompok beresiko,Klasifikasi terkait kesehatan jiwa kelompok beresiko.,Digunakan untuk dokumen mengenai kesehatan jiwa kelompok beresiko.,"kesehatan, jiwa, kelompok, beresiko",umum,umum,kuartier,400.7.6.6 kesehatan jiwa kelompok beresiko klasifikasi terkait kesehatan jiwa kelompok beresiko. digunakan untuk dokumen mengenai kesehatan jiwa kelompok beresiko. kesehatan jiwa kelompok beresiko umum umum
400.7.7,surveilans imunisasi karantina dan kesehatan matra,Klasifikasi terkait surveilans imunisasi karantina dan kesehatan matra.,Digunakan untuk dokumen mengenai surveilans imunisasi karantina dan kesehatan matra.,"surveilans, imunisasi, karantina, dan, kesehatan, matra",umum,umum,tersier,400.7.7 surveilans imunisasi karantina dan kesehatan matra klasifikasi terkait surveilans imunisasi karantina dan kesehatan matra. digunakan untuk dokumen mengenai surveilans imunisasi karantina dan kesehatan matra. surveilans imunisasi karantina dan kesehatan matra umum umum
400.7.7.1,surveilans dan respon kejadian luar biasa,Klasifikasi terkait surveilans dan respon kejadian luar biasa.,Digunakan untuk dokumen mengenai surveilans dan respon kejadian luar biasa.,"surveilans, dan, respon, kejadian, luar, biasa",umum,umum,kuartier,400.7.7.1 surveilans dan respon kejadian luar biasa klasifikasi terkait surveilans dan respon kejadian luar biasa. digunakan untuk dokumen mengenai surveilans dan respon kejadian luar biasa. surveilans dan respon kejadian luar biasa umum umum
400.7.7.2,imunisasi,Klasifikasi terkait imunisasi.,Digunakan untuk dokumen mengenai imunisasi.,imunisasi,umum,umum,kuartier,400.7.7.2 imunisasi klasifikasi terkait imunisasi. digunakan untuk dokumen mengenai imunisasi. imunisasi umum umum
400.7.7.3,karantina kesehatan dan kesehatan di pelabuhan,Klasifikasi terkait karantina kesehatan dan kesehatan di pelabuhan.,Digunakan untuk dokumen mengenai karantina kesehatan dan kesehatan di pelabuhan.,"karantina, kesehatan, dan, pelabuhan",umum,umum,kuartier,400.7.7.3 karantina kesehatan dan kesehatan di pelabuhan klasifikasi terkait karantina kesehatan dan kesehatan di pelabuhan. digunakan untuk dokumen mengenai karantina kesehatan dan kesehatan di pelabuhan. karantina kesehatan dan pelabuhan umum umum
400.7.7.4,kesehatan matra,Klasifikasi terkait kesehatan matra.,Digunakan untuk dokumen mengenai kesehatan matra.,"kesehatan, matra",umum,umum,kuartier,400.7.7.4 kesehatan matra klasifikasi terkait kesehatan matra. digunakan untuk dokumen mengenai kesehatan matra. kesehatan matra umum umum
400.7.8,pengendalian penyakit menular langsung,Klasifikasi terkait pengendalian penyakit menular langsung.,Digunakan untuk dokumen mengenai pengendalian penyakit menular langsung.,"pengendalian, penyakit, menular, langsung",umum,umum,tersier,400.7.8 pengendalian penyakit menular langsung klasifikasi terkait pengendalian penyakit menular langsung. digunakan untuk dokumen mengenai pengendalian penyakit menular langsung. pengendalian penyakit menular langsung umum umum
400.7.8.1,pengendalian tuberkolosis,Klasifikasi terkait pengendalian tuberkolosis.,Digunakan untuk dokumen mengenai pengendalian tuberkolosis.,"pengendalian, tuberkolosis",umum,umum,kuartier,400.7.8.1 pengendalian tuberkolosis klasifikasi terkait pengendalian tuberkolosis. digunakan untuk dokumen mengenai pengendalian tuberkolosis. pengendalian tuberkolosis umum umum
400.7.8.2,pengendalian aids dan penyakit menular seksual,Klasifikasi terkait pengendalian aids dan penyakit menular seksual.,Digunakan untuk dokumen mengenai pengendalian aids dan penyakit menular seksual.,"pengendalian, aids, dan, penyakit, menular, seksual",umum,umum,kuartier,400.7.8.2 pengendalian aids dan penyakit menular seksual klasifikasi terkait pengendalian aids dan penyakit menular seksual. digunakan untuk dokumen mengenai pengendalian aids dan penyakit menular seksual. pengendalian aids dan penyakit menular seksual umum umum
400.7.8.3,pengendalian  infeksi saluran pernafasan akut,Klasifikasi terkait pengendalian  infeksi saluran pernafasan akut.,Digunakan untuk dokumen mengenai pengendalian  infeksi saluran pernafasan akut.,"pengendalian, infeksi, saluran, pernafasan, akut",umum,umum,kuartier,400.7.8.3 pengendalian infeksi saluran pernafasan akut klasifikasi terkait pengendalian infeksi saluran pernafasan akut. digunakan untuk dokumen mengenai pengendalian infeksi saluran pernafasan akut. pengendalian infeksi saluran pernafasan akut umum umum
400.7.8.4,pengendalian diare dan infeksi saluran pencernaan,Klasifikasi terkait pengendalian diare dan infeksi saluran pencernaan.,Digunakan untuk dokumen mengenai pengendalian diare dan infeksi saluran pencernaan.,"pengendalian, diare, dan, infeksi, saluran, pencernaan",umum,umum,kuartier,400.7.8.4 pengendalian diare dan infeksi saluran pencernaan klasifikasi terkait pengendalian diare dan infeksi saluran pencernaan. digunakan untuk dokumen mengenai pengendalian diare dan infeksi saluran pencernaan. pengendalian diare dan infeksi saluran pencernaan umum umum
400.7.8.5,pengendalian  kusta dan frambusia,Klasifikasi terkait pengendalian  kusta dan frambusia.,Digunakan untuk dokumen mengenai pengendalian  kusta dan frambusia.,"pengendalian, kusta, dan, frambusia",umum,umum,kuartier,400.7.8.5 pengendalian kusta dan frambusia klasifikasi terkait pengendalian kusta dan frambusia. digunakan untuk dokumen mengenai pengendalian kusta dan frambusia. pengendalian kusta dan frambusia umum umum
400.7.9,pengendalian penyakit bersumber binatang,Klasifikasi terkait pengendalian penyakit bersumber binatang.,Digunakan untuk dokumen mengenai pengendalian penyakit bersumber binatang.,"pengendalian, penyakit, bersumber, binatang",umum,umum,tersier,400.7.9 pengendalian penyakit bersumber binatang klasifikasi terkait pengendalian penyakit bersumber binatang. digunakan untuk dokumen mengenai pengendalian penyakit bersumber binatang. pengendalian penyakit bersumber binatang umum umum
400.7.9.1,pengendalian  malaria,Klasifikasi terkait pengendalian  malaria.,Digunakan untuk dokumen mengenai pengendalian  malaria.,"pengendalian, malaria",umum,umum,kuartier,400.7.9.1 pengendalian malaria klasifikasi terkait pengendalian malaria. digunakan untuk dokumen mengenai pengendalian malaria. pengendalian malaria umum umum
400.7.9.2,pengendalian  arbovirosis,Klasifikasi terkait pengendalian  arbovirosis.,Digunakan untuk dokumen mengenai pengendalian  arbovirosis.,"pengendalian, arbovirosis",umum,umum,kuartier,400.7.9.2 pengendalian arbovirosis klasifikasi terkait pengendalian arbovirosis. digunakan untuk dokumen mengenai pengendalian arbovirosis. pengendalian arbovirosis umum umum
400.7.9.3,pengendalian  zoonosis,Klasifikasi terkait pengendalian  zoonosis.,Digunakan untuk dokumen mengenai pengendalian  zoonosis.,"pengendalian, zoonosis",umum,umum,kuartier,400.7.9.3 pengendalian zoonosis klasifikasi terkait pengendalian zoonosis. digunakan untuk dokumen mengenai pengendalian zoonosis. pengendalian zoonosis umum umum
400.7.9.4,pengendalian filariasis dan kecacingan,Klasifikasi terkait pengendalian filariasis dan kecacingan.,Digunakan untuk dokumen mengenai pengendalian filariasis dan kecacingan.,"pengendalian, filariasis, dan, kecacingan",umum,umum,kuartier,400.7.9.4 pengendalian filariasis dan kecacingan klasifikasi terkait pengendalian filariasis dan kecacingan. digunakan untuk dokumen mengenai pengendalian filariasis dan kecacingan. pengendalian filariasis dan kecacingan umum umum
400.7.10,pengendalian penyakit tidak menular,Klasifikasi terkait pengendalian penyakit tidak menular.,Digunakan untuk dokumen mengenai pengendalian penyakit tidak menular.,"pengendalian, penyakit, tidak, menular",umum,umum,tersier,400.7.10 pengendalian penyakit tidak menular klasifikasi terkait pengendalian penyakit tidak menular. digunakan untuk dokumen mengenai pengendalian penyakit tidak menular. pengendalian penyakit tidak menular umum umum
400.7.10.1,pengendalian penyakit jantung dan pembuluh darah,Klasifikasi terkait pengendalian penyakit jantung dan pembuluh darah.,Digunakan untuk dokumen mengenai pengendalian penyakit jantung dan pembuluh darah.,"pengendalian, penyakit, jantung, dan, pembuluh, darah",umum,umum,kuartier,400.7.10.1 pengendalian penyakit jantung dan pembuluh darah klasifikasi terkait pengendalian penyakit jantung dan pembuluh darah. digunakan untuk dokumen mengenai pengendalian penyakit jantung dan pembuluh darah. pengendalian penyakit jantung dan pembuluh darah umum umum
400.7.10.2,pengendalian penyakit diabetes melitus dan penyakit metabolik,Klasifikasi terkait pengendalian penyakit diabetes melitus dan penyakit metabolik.,Digunakan untuk dokumen mengenai pengendalian penyakit diabetes melitus dan penyakit metabolik.,"pengendalian, penyakit, diabetes, melitus, dan, metabolik",umum,umum,kuartier,400.7.10.2 pengendalian penyakit diabetes melitus dan penyakit metabolik klasifikasi terkait pengendalian penyakit diabetes melitus dan penyakit metabolik. digunakan untuk dokumen mengenai pengendalian penyakit diabetes melitus dan penyakit metabolik. pengendalian penyakit diabetes melitus dan metabolik umum umum
400.7.10.3,penyakit kanker,Klasifikasi terkait penyakit kanker.,Digunakan untuk dokumen mengenai penyakit kanker.,"penyakit, kanker",umum,umum,kuartier,400.7.10.3 penyakit kanker klasifikasi terkait penyakit kanker. digunakan untuk dokumen mengenai penyakit kanker. penyakit kanker umum umum
400.7.10.4,penyakit kronis dan generatif,Klasifikasi terkait penyakit kronis dan generatif.,Digunakan untuk dokumen mengenai penyakit kronis dan generatif.,"penyakit, kronis, dan, generatif",umum,umum,kuartier,400.7.10.4 penyakit kronis dan generatif klasifikasi terkait penyakit kronis dan generatif. digunakan untuk dokumen mengenai penyakit kronis dan generatif. penyakit kronis dan generatif umum umum
400.7.10.5,gangguan akibat kecelakaan dan tindak kekerasan,Klasifikasi terkait gangguan akibat kecelakaan dan tindak kekerasan.,Digunakan untuk dokumen mengenai gangguan akibat kecelakaan dan tindak kekerasan.,"gangguan, akibat, kecelakaan, dan, tindak, kekerasan",umum,umum,kuartier,400.7.10.5 gangguan akibat kecelakaan dan tindak kekerasan klasifikasi terkait gangguan akibat kecelakaan dan tindak kekerasan. digunakan untuk dokumen mengenai gangguan akibat kecelakaan dan tindak kekerasan. gangguan akibat kecelakaan dan tindak kekerasan umum umum
400.7.11,penyehatan lingkungan,Klasifikasi terkait penyehatan lingkungan.,Digunakan untuk dokumen mengenai penyehatan lingkungan.,"penyehatan, lingkungan",umum,umum,tersier,400.7.11 penyehatan lingkungan klasifikasi terkait penyehatan lingkungan. digunakan untuk dokumen mengenai penyehatan lingkungan. penyehatan lingkungan umum umum
400.7.11.1,penyehatan air dan sanitasi dasar,Klasifikasi terkait penyehatan air dan sanitasi dasar.,Digunakan untuk dokumen mengenai penyehatan air dan sanitasi dasar.,"penyehatan, air, dan, sanitasi, dasar",umum,umum,kuartier,400.7.11.1 penyehatan air dan sanitasi dasar klasifikasi terkait penyehatan air dan sanitasi dasar. digunakan untuk dokumen mengenai penyehatan air dan sanitasi dasar. penyehatan air dan sanitasi dasar umum umum
400.7.11.2,pemukiman dan tempat umum,Klasifikasi terkait pemukiman dan tempat umum.,Digunakan untuk dokumen mengenai pemukiman dan tempat umum.,"pemukiman, dan, tempat, umum",umum,umum,kuartier,400.7.11.2 pemukiman dan tempat umum klasifikasi terkait pemukiman dan tempat umum. digunakan untuk dokumen mengenai pemukiman dan tempat umum. pemukiman dan tempat umum umum umum
400.7.11.3,kawasan dan sanitasi darurat,Klasifikasi terkait kawasan dan sanitasi darurat.,Digunakan untuk dokumen mengenai kawasan dan sanitasi darurat.,"kawasan, dan, sanitasi, darurat",umum,umum,kuartier,400.7.11.3 kawasan dan sanitasi darurat klasifikasi terkait kawasan dan sanitasi darurat. digunakan untuk dokumen mengenai kawasan dan sanitasi darurat. kawasan dan sanitasi darurat umum umum
400.7.11.4,higien sanitasi pangan,Klasifikasi terkait higien sanitasi pangan.,Digunakan untuk dokumen mengenai higien sanitasi pangan.,"higien, sanitasi, pangan",umum,umum,kuartier,400.7.11.4 higien sanitasi pangan klasifikasi terkait higien sanitasi pangan. digunakan untuk dokumen mengenai higien sanitasi pangan. higien sanitasi pangan umum umum
400.7.11.5,pengamanan limbah udara radiasi,Klasifikasi terkait pengamanan limbah udara radiasi.,Digunakan untuk dokumen mengenai pengamanan limbah udara radiasi.,"pengamanan, limbah, udara, radiasi",umum,umum,kuartier,400.7.11.5 pengamanan limbah udara radiasi klasifikasi terkait pengamanan limbah udara radiasi. digunakan untuk dokumen mengenai pengamanan limbah udara radiasi. pengamanan limbah udara radiasi umum umum
400.7.12,pengembangan dan penapisan teknologi pengendalian penyakit dan pengendalian lingkungan,Klasifikasi terkait pengembangan dan penapisan teknologi pengendalian penyakit dan pengendalian lingkungan.,Digunakan untuk dokumen mengenai pengembangan dan penapisan teknologi pengendalian penyakit dan pengendalian lingkungan.,"pengembangan, dan, penapisan, teknologi, pengendalian, penyakit, lingkungan",umum,umum,tersier,400.7.12 pengembangan dan penapisan teknologi pengendalian penyakit dan pengendalian lingkungan klasifikasi terkait pengembangan dan penapisan teknologi pengendalian penyakit dan pengendalian lingkungan. digunakan untuk dokumen mengenai pengembangan dan penapisan teknologi pengendalian penyakit dan pengendalian lingkungan. pengembangan dan penapisan teknologi pengendalian penyakit lingkungan umum umum
